model,inf_time,input_size
adv_inception_v3,19.296584129333496,299
bat_resnext26ts,14.226112365722656,256
botnet26t_256,15.369343757629395,256
botnet50ts_256,7.524175643920898,256
cait_m36_384,1203.5523223876953,384
cait_m48_448,2773.5635662078857,448
cait_s24_224,49.47519302368164,224
cait_s24_384,297.06849575042725,384
cait_s36_384,445.7871150970459,384
cait_xs24_384,212.74035453796387,384
cait_xxs24_224,24.020743370056152,224
cait_xxs24_384,137.0409917831421,384
cait_xxs36_224,35.890560150146484,224
cait_xxs36_384,206.62225723266602,384
coat_lite_mini,18.46449375152588,224
coat_lite_small,35.66220283508301,224
coat_lite_tiny,17.330598831176758,224
coat_mini,81.24821662902832,224
coat_tiny,60.514235496520996,224
convit_base,60.732083320617676,224
convit_small,28.255305290222168,224
convit_tiny,11.061005592346191,224
cspdarknet53,21.110177040100098,256
cspresnet50,14.22332763671875,256
cspresnet50d,15.58117389678955,256
cspresnet50w,16.914830207824707,256
cspresnext50,17.05392837524414,224
darknet53,22.941393852233887,256
deit_base_distilled_patch16_224,47.82066345214844,224
deit_base_distilled_patch16_384,158.91540050506592,384
deit_base_patch16_224,48.88588905334473,224
deit_base_patch16_384,161.45395278930664,384
deit_small_distilled_patch16_224,16.49087429046631,224
deit_small_patch16_224,16.160058975219727,224
deit_tiny_distilled_patch16_224,6.768431663513184,224
deit_tiny_patch16_224,6.659712791442871,224
densenet121,15.532240867614746,224
densenet121d,16.206607818603516,224
densenet161,34.39727783203125,224
densenet169,20.692663192749023,224
densenet201,27.700047492980957,224
densenet264,63.05585384368896,224
densenetblur121d,16.557888984680176,224
dla34,9.771232604980469,224
dla46_c,4.557838439941406,224
dla46x_c,5.444931983947754,224
dla60,16.17697238922119,224
dla60_res2net,19.43472385406494,224
dla60_res2next,22.3160457611084,224
dla60x,19.980454444885254,224
dla60x_c,6.032466888427734,224
dla102,26.39504909515381,224
dla102x,33.39006423950195,224
dla102x2,47.012314796447754,224
dla169,41.862425804138184,224
dm_nfnet_f0,32.61641979217529,192
dm_nfnet_f1,73.7343978881836,224
dm_nfnet_f2,123.437180519104,256
dm_nfnet_f3,246.72056198120117,320
dm_nfnet_f4,426.57707691192627,384
dm_nfnet_f5,618.7477254867554,416
dm_nfnet_f6,801.4239072799683,448
dpn68,18.187508583068848,224
dpn68b,18.55647563934326,224
dpn92,33.855628967285156,224
dpn98,57.001094818115234,224
dpn107,79.14620399475098,224
dpn131,80.8239221572876,224
eca_botnext26ts_256,16.600570678710938,256
